Frame Info: 
Type,Infrared 1
Format,Y8
Frame Number,8115
Timestamp (ms),1715614108255.61
Resolution x,640
Resolution y,480
Bytes per pixel,1

Intrinsic:,
Fx,387.166382
Fy,387.166382
PPx,318.176575
PPy,243.164993
Distorsion,Brown Conrady
