Frame Info: 
Type,Infrared 2
Format,Y8
Frame Number,8316
Timestamp (ms),1715614114957.31
Resolution x,640
Resolution y,480
Bytes per pixel,1

Intrinsic:,
Fx,387.166382
Fy,387.166382
PPx,318.176575
PPy,243.164993
Distorsion,Brown Conrady
